Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Essential
2018/12/04, 12:26:08, -37.854771, 77.524132, 146.05,  0.00, 0, 0, 1.78, 1
2018/12/04, 12:31:15, -37.854622, 77.524132, 143.55,  0.00, 0, 0, 16.57, 1
2018/12/04, 12:36:21, -37.854763, 77.524124, 151.94,  0.00, 0, 0, 15.69, 1
2018/12/04, 12:41:26, -37.854725, 77.524139, 149.72,  0.00, 0, 0, 4.43, 1
2018/12/04, 12:46:30, -37.854790, 77.524124, 148.63,  0.00, 43, 0, 7.35, 1
2018/12/04, 12:51:34, -37.854706, 77.524162, 150.90,  0.00, 152, 0, 9.92, 1
2018/12/04, 12:56:38, -37.854652, 77.524185, 134.18,  0.00, 354, 0, 6.33, 1
2018/12/04, 13:01:45, -37.854679, 77.524170, 139.20,  0.00, 0, 0, 3.28, 1
2018/12/04, 13:06:54, -37.854774, 77.524132, 145.07,  0.00, 0, 0, 11.08, 1
2018/12/04, 13:12:03, -37.854736, 77.524170, 146.30,  0.00, 0, 0, 5.38, 1
2018/12/04, 13:17:12, -37.854733, 77.524178, 142.14,  0.00, 158, 0, 0.78, 1
2018/12/04, 13:22:23, -37.854698, 77.524193, 139.81,  216.00, 69, 0, 4.11, 1
2018/12/04, 13:27:34, -37.854717, 77.524178, 142.63,  0.00, 188, 0, 2.49, 1
2018/12/04, 13:32:44, -37.854691, 77.524094, 145.61,  0.00, 335, 0, 7.92, 1
2018/12/04, 13:37:52, -37.854683, 77.524155, 147.68,  0.00, 0, 0, 5.43, 1
2018/12/04, 13:43:23, -37.854748, 77.524147, 147.92,  2520.00, 174, 0, 7.26, 1
2018/12/04, 13:49:03, -37.854717, 77.524170, 153.14,  288.00, 205, 0, 3.99, 1
2018/12/04, 13:55:16, -37.854694, 77.524155, 149.14,  0.00, 46, -4, 2.88, 1
2018/12/04, 21:00:32, -37.854740, 77.524155, 144.05,  180.00, 16, -2, 0.00, 1
2018/12/04, 21:05:37, -37.854725, 77.524155, 144.85,  0.00, 0, 0, 1.67, 1
2018/12/04, 21:10:42, -37.854713, 77.524162, 157.71,  0.00, 0, 0, 1.47, 1
2018/12/04, 21:15:47, -37.854694, 77.524185, 149.64,  0.00, 0, 0, 2.92, 1
2018/12/04, 21:20:52, -37.854706, 77.524185, 150.90,  0.00, 0, 0, 1.33, 1
2018/12/04, 21:25:56, -37.854687, 77.524178, 143.41,  0.00, 0, 0, 2.20, 1
2018/12/04, 21:31:00, -37.854721, 77.524170, 160.03,  0.00, 0, 0, 3.85, 1
2018/12/04, 21:36:04, -37.854740, 77.524139, 141.97,  0.00, 0, 0, 3.45, 1
2018/12/04, 21:41:07, -37.854763, 77.524162, 131.71,  0.00, 0, 0, 3.26, 1
2018/12/04, 21:46:11, -37.854721, 77.524139, 162.97,  0.00, 0, 0, 5.09, 1
2018/12/04, 21:51:18, -37.854725, 77.524178, 136.02,  576.00, 0, 0, 3.45, 1
2018/12/04, 21:56:25, -37.854740, 77.524178, 153.62,  612.00, 0, 0, 1.67, 1
2018/12/04, 22:01:34, -37.854736, 77.524155, 137.67,  504.00, 0, 0, 2.07, 1
2018/12/04, 22:06:40, -37.854755, 77.524155, 138.27,  1008.00, 0, 0, 2.11, 1
2018/12/04, 22:11:48, -37.854710, 77.524193, 163.93,  576.00, 0, 0, 6.01, 1
2018/12/04, 22:17:07, -37.854694, 77.524200, 152.09,  4752.00, 24, 0, 1.88, 1
2018/12/04, 22:22:27, -37.854744, 77.524109, 134.70,  1800.00, 127, 0, 9.73, 1
2018/12/04, 22:28:02, -37.854744, 77.524170, 147.13,  288.00, 55, 0, 5.36, 1
2018/12/04, 22:34:37, -37.854748, 77.524124, 144.22,  0.00, 0, 0, 4.06, 1
2018/12/04, 22:41:30, -37.854679, 77.524170, 151.47,  0.00, 0, 0, 8.67, 1
2018/12/04, 22:48:04, -37.854675, 77.524193, 145.44,  0.00, 0, 0, 2.07, 1
2018/12/04, 22:54:38, -37.854679, 77.524193, 142.80,  0.00, 0, 0, 0.44, 1
2018/12/04, 23:01:14, -37.854771, 77.524178, 155.22,  0.00, 0, 0, 10.31, 1
2018/12/04, 23:07:59, -37.854729, 77.524162, 143.16,  0.00, 0, 0, 4.88, 1
2018/12/04, 23:13:05, -37.854797, 77.524139, 152.49,  0.00, 3, 0, 7.83, 1
2018/12/04, 23:18:10, -37.854610, 77.524185, 138.52,  0.00, 0, 0, 21.18, 1
2018/12/04, 23:23:19, -37.854702, 77.524155, 142.95,  144.00, 0, 0, 10.56, 1
2018/12/04, 23:28:27, -37.854721, 77.524132, 152.29,  180.00, 0, 0, 2.92, 1
2018/12/04, 23:33:34, -37.854641, 77.524162, 128.73,  576.00, 0, 0, 9.28, 1
2018/12/04, 23:38:41, -37.854763, 77.524155, 159.54,  864.00, 0, 0, 13.58, 1
2018/12/04, 23:43:48, -37.854755, 77.524139, 148.81,  396.00, 0, 0, 1.66, 1
2018/12/04, 23:48:55, -37.854763, 77.524193, 147.94,  288.00, 0, 0, 4.82, 1
